grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,0,1.8557781307026744,[0.3657564828172326],[1.4900216478854418],OPTIMAL,92.0,92.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0093249262822552,"[0.260907196969697, 0.20679213184476347]","[130.4535984848485, 103.39606592238174]","[1.8, 1.75]",233.8496644072302,1.8,0.0,0.0,0.0,"[0.08287547994405031, 0.18582550203427672]","[1.0344885089434683, 0.21278683305718005]",,,,,,92.0,92.0,1.9507464689668268,0.0,0.9513169241749542
40,2,100,1000,5,500,-2,10,1,0.9330982568208128,[0.2866445379331708],[0.646453718887642],OPTIMAL,113.0,113.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0093214129331774,"[0.16945410935813407, 0.0948092353646264]","[84.72705467906704, 47.4046176823132]","[2.171212121212121, 1.7103864734299516]",132.13167236138025,2.171212121212121,0.0,0.0,0.0,"[0.0885721379891038, 0.2011122650001198]","[0.19074614299461246, 0.2318526809103787]",,,,,,113.0,113.0,0.9817338460125028,0.0,0.9504594963398352
40,2,100,1000,5,500,-2,10,2,0.79989726212807,[0.281397090991959],[0.518500171136111],OPTIMAL,116.0,116.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0094504604445642,"[0.24217128010878017, 0.11041910804623654]","[121.08564005439008, 55.20955402311827]","[1.8333333333333333, 1.7727272727272727]",176.29519407750834,1.8333333333333333,0.0,0.0,0.0,"[0.22947241296060383, 0.08488872484304011]","[1.1571211349219084, 0.24812506302259862]",,,,,,116.0,116.0,1.9924761427100748,0.0,0.4014588907649787
40,2,100,1000,5,500,-2,10,3,0.6565095561090857,[0.4244625091087073],[0.23204704700037837],OPTIMAL,62.0,62.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0118785697936542,"[0.08523304269260154, 0.05574403974116249]","[42.61652134630077, 27.872019870581244]","[1.483116883116883, 1.5088235294117647]",70.48854121688204,1.508823529411765,2.8421709430404014e-14,2.842170943040401e-17,4.0321035077959286e-16,"[0.09104646393097937, 0.2172916189301759]","[0.11656696093268692, 0.09949918300844729]",,,,,,62.0,62.0,0.8110646249260753,0.0,0.8094417336583054
40,2,100,1000,5,500,-2,10,4,1.2058957130648196,[0.30547444499097764],[0.9004212680738419],OPTIMAL,99.0,99.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0065950219119867,"[0.18638276592688363, 0.1533545566574659]","[93.19138296344181, 76.67727832873294]","[2.75, 1.75]",169.8686612921747,2.75,0.0,0.0,0.0,"[0.08443523803725839, 0.08767083706334233]","[0.539384591858834, 0.34245634777471423]",,,,,,99.0,99.0,1.446822706842795,0.0,0.8334785646931698
40,2,100,1000,5,500,-2,10,5,1.5261520731728524,[0.3059933721087873],[1.220158701064065],OPTIMAL,75.0,75.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0137059184693087,"[0.1403227101845523, 0.1675489009250199]","[70.16135509227615, 83.77445046250995]","[1.78125, 1.8]",153.935805554786,1.8,0.0,0.0,0.0,"[0.08368281996808946, 0.21758066699840128]","[0.12808501487597823, 0.945161622017622]",,,,,,75.0,75.0,1.6609582856763154,0.0,0.9188382913249552
40,2,100,1000,5,500,-2,10,6,0.8598217580001801,[0.3018625299446285],[0.5579592280555516],OPTIMAL,101.0,101.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0038507421518257,"[0.18980366161616158, 0.20217009822430293]","[94.90183080808079, 101.08504911215147]","[1.95, 2.1136363636363638]",195.98687992023235,2.113636363636364,8.526512829121202e-14,8.5265128291212e-17,4.350552869941106e-16,"[0.08989045908674598, 0.22045426000840962]","[0.297539735911414, 0.30758336815051734]",,,,,,101.0,101.0,1.19569469592534,0.0,0.7190980782387513
40,2,100,1000,5,500,-2,10,7,0.8894888788927346,[0.2987263319082558],[0.5907625469844788],OPTIMAL,79.0,79.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0131389691190912,"[0.09355726690189609, 0.13122844296768277]","[46.77863345094804, 65.61422148384139]","[1.559090909090909, 1.724955436720143]",112.3928549347894,1.724955436720143,0.0,0.0,0.0,"[0.08703588205389678, 0.21584029705263674]","[0.20767242810688913, 0.37353459117002785]",,,,,,79.0,79.0,1.16672334051691,0.0,0.7623820043735919
40,2,100,1000,5,500,-2,10,8,0.7205316729377955,[0.30212014401331544],[0.4184115289244801],OPTIMAL,117.0,117.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0075557712716403,"[0.270676422841864, 0.14477350427350427]","[135.338211420932, 72.38675213675214]","[2.203409090909091, 2.1]",207.7249635576841,2.203409090909091,0.0,0.0,0.0,"[0.09367305203340948, 0.21527005289681256]","[0.2895602430216968, 0.1330589111894369]",,,,,,117.0,117.0,1.0151054521556944,0.0,0.7098096768248686
40,2,100,1000,5,500,-2,10,9,1.0217209770344198,[0.29743263497948647],[0.7242883420549333],OPTIMAL,106.0,106.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.0056110787876964,"[0.10432429558745349, 0.1861385432378079]","[52.162147793726746, 93.06927161890395]","[1.75, 2.0]",145.23141941263071,2.0,0.0,0.0,0.0,"[0.2770859741140157, 0.08965194504708052]","[0.3363903039135039, 0.2911172939930111]",,,,,,106.0,106.0,1.3869882877916098,0.0,0.7366471555871782
